date,data,time
98.8399963,2016-5-12,21
98.7699966,2016-5-12,22
99.5899963,2016-5-12,23
94.2900009,2016-5-13,00
85.5999985,2016-5-13,01
88.7300034,2016-5-13,02
89.3000031,2016-5-13,03
87.0699997,2016-5-13,04
90.5,2016-5-13,05
91.2200012,2016-5-13,06
99.7399979,2016-5-13,07
104.510002,2016-5-13,08
97.6100006,2016-5-13,09
99.9300003,2016-5-13,10
100.089996,2016-5-13,11
100.82,2016-5-13,12
105.029999,2016-5-13,13
103.580002,2016-5-13,14
104.860001,2016-5-13,15
109.209999,2016-5-13,16
116.849998,2016-5-13,17
126.82,2016-5-13,18
128.899994,2016-5-13,19
134.679993,2016-5-13,20
139.559998,2016-5-13,21
133.839996,2016-5-13,22
137.179993,2016-5-13,23
0.319999993,2016-5-14,00
141.440002,2016-5-14,01
151.179993,2016-5-14,02
139.960007,2016-5-14,03
145.580002,2016-5-14,04
156.600006,2016-5-14,05
157.820007,2016-5-14,06
145.970001,2016-5-14,07
148.679993,2016-5-14,08
0.0,2016-5-14,09
0.0,2016-5-14,10
0.0,2016-5-14,11
0.0,2016-5-14,12
0.0,2016-5-14,13
166.509995,2016-5-14,14
171.690002,2016-5-14,15
77.2099991,2016-5-14,16
176.190002,2016-5-14,17
179.179993,2016-5-14,18
183.279999,2016-5-14,19
0.0,2016-5-14,20
192.110001,2016-5-14,21
186.149994,2016-5-14,22
0.330000013,2016-5-14,23
171.25,2016-5-15,00
170.5,2016-5-15,01
0.0,2016-5-15,02
173.169998,2016-5-15,03
0.0,2016-5-15,04
175.539993,2016-5-15,05
173.720001,2016-5-15,06
0.0,2016-5-15,07
183.0,2016-5-15,08
182.850006,2016-5-15,09
183.0,2016-5-15,10
64.5699997,2016-5-15,11
179.289993,2016-5-15,12
134.429993,2016-5-15,13
144.009995,2016-5-15,14
71.8499985,2016-5-15,15
0.0,2016-5-15,16
151.080002,2016-5-15,17
152.75,2016-5-15,18
160.690002,2016-5-15,19
