date,data,time
24.1000004,2016-5-27,07
15.71,2016-5-27,08
23.5799999,2016-5-27,09
23.8199997,2016-5-27,10
23.3199997,2016-5-27,11
24.2800007,2016-5-27,12
24.9200001,2016-5-27,13
24.2399998,2016-5-27,14
25.2000008,2016-5-27,15
24.7399998,2016-5-27,16
20.0100002,2016-5-27,17
20.7199993,2016-5-27,18
21.3500004,2016-5-27,19
20.2900009,2016-5-27,20
26.6499996,2016-5-27,21
19.1200008,2016-5-27,22
26.8600006,2016-5-27,23
24.4599991,2016-5-28,00
27.5400009,2016-5-28,01
25.1299992,2016-5-28,02
24.5,2016-5-28,03
25.4799995,2016-5-28,04
18.6700001,2016-5-28,05
23.8400002,2016-5-28,06
23.4200001,2016-5-28,07
25.0900002,2016-5-28,08
24.5499992,2016-5-28,09
26.5300007,2016-5-28,10
25.2099991,2016-5-28,11
24.3299999,2016-5-28,12
25.2199993,2016-5-28,13
26.0499992,2016-5-28,14
26.5400009,2016-5-28,15
26.0499992,2016-5-28,16
27.7199993,2016-5-28,17
26.6900005,2016-5-28,18
26.9500008,2016-5-28,19
26.4500008,2016-5-28,20
24.1800003,2016-5-28,21
24.7099991,2016-5-28,22
24.1399994,2016-5-28,23
25.7399998,2016-5-29,00
26.2399998,2016-5-29,01
26.1499996,2016-5-29,02
26.5699997,2016-5-29,03
26.8199997,2016-5-29,04
27.5200005,2016-5-29,05
25.3999996,2016-5-29,06
25.6399994,2016-5-29,07
25.2399998,2016-5-29,08
25.6299992,2016-5-29,09
24.9200001,2016-5-29,10
25.0499992,2016-5-29,11
25.6399994,2016-5-29,12
24.4699993,2016-5-29,13
25.8999996,2016-5-29,14
25.6700001,2016-5-29,15
25.9099998,2016-5-29,16
25.3899994,2016-5-29,17
26.6800003,2016-5-29,18
27.0200005,2016-5-29,19
18.0100002,2016-5-29,20
26.7099991,2016-5-29,21
25.6200008,2016-5-29,22
19.1800003,2016-5-29,23
26.8700008,2016-5-30,00
26.3999996,2016-5-30,01
27.0200005,2016-5-30,02
26.9400005,2016-5-30,03
26.1900005,2016-5-30,04
26.4400005,2016-5-30,05
27.0499992,2016-5-30,06
19.9599991,2016-5-30,07
26.5900002,2016-5-30,08
27.0900002,2016-5-30,09
27.1200008,2016-5-30,10
26.2800007,2016-5-30,11
27.3700008,2016-5-30,12
26.9899998,2016-5-30,13
29.0799999,2016-5-30,14
28.2999992,2016-5-30,15
27.8999996,2016-5-30,16
27.8099995,2016-5-30,17
29.0,2016-5-30,18
27.8299999,2016-5-30,19
19.0599995,2016-5-30,20
19.9599991,2016-5-30,21
27.5699997,2016-5-30,22
19.6000004,2016-5-30,23
28.2399998,2016-5-31,00
28.1100006,2016-5-31,01
28.0799999,2016-5-31,02
20.2700005,2016-5-31,03
19.5599995,2016-5-31,04
20.7000008,2016-5-31,05
20.75,2016-5-31,06
20.4400005,2016-5-31,07
27.4400005,2016-5-31,08
27.2099991,2016-5-31,09
21.1900005,2016-5-31,10
21.3400002,2016-5-31,11
22.5,2016-5-31,12
24.0400009,2016-5-31,13
26.6599998,2016-5-31,14
30.9699993,2016-5-31,15
31.0599995,2016-5-31,16
26.3999996,2016-5-31,17
26.8999996,2016-5-31,18
25.1599998,2016-5-31,19
25.7600002,2016-5-31,20
25.0,2016-5-31,21
25.3199997,2016-5-31,22
25.0799999,2016-5-31,23
24.0699997,2016-6-1,00
24.3600006,2016-6-1,01
25.4500008,2016-6-1,03
25.1499996,2016-6-1,04
25.6700001,2016-6-1,05
26.0699997,2016-6-1,06
26.1000004,2016-6-1,07
25.4599991,2016-6-1,08
26.3500004,2016-6-1,09
26.3500004,2016-6-1,10
25.6700001,2016-6-1,11
26.2999992,2016-6-1,12
26.8700008,2016-6-1,13
28.0200005,2016-6-1,14
28.0599995,2016-6-1,15
30.5,2016-6-1,16
30.6299992,2016-6-1,17
29.1800003,2016-6-1,18
28.0699997,2016-6-1,19
28.5499992,2016-6-1,20
27.8099995,2016-6-1,21
27.5200005,2016-6-1,22
27.7099991,2016-6-1,23
26.9699993,2016-6-2,00
27.3500004,2016-6-2,01
27.1000004,2016-6-2,02
26.3700008,2016-6-2,03
26.9300003,2016-6-2,04
26.75,2016-6-2,05
28.2199993,2016-6-2,06
28.1200008,2016-6-2,07
27.8799992,2016-6-2,08
27.8600006,2016-6-2,09
27.3999996,2016-6-2,10
28.0200005,2016-6-2,11
28.1700001,2016-6-2,12
27.6499996,2016-6-2,13
28.5100002,2016-6-2,14
27.9500008,2016-6-2,15
29.5,2016-6-2,16
30.0900002,2016-6-2,17
29.0900002,2016-6-2,18
28.7999992,2016-6-2,19
28.5100002,2016-6-2,20
